date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:10	912/912	---MCZ	200	added ('OK')	text/xml	date:Mon,%2010%20Apr%202023%2021:02:09%20GMT	https://apresentacao.pegaocardapio.com.br/xmlrpc.php?rsd	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/xmlrpc0db0.php	(from https://apresentacao.pegaocardapio.com.br/)
18:02:10	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5bafb5e31e012%22	https://apresentacao.pegaocardapio.com.br/wp-includes/wlwmanifest.xml	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-includes/wlwmanifest.xml	(from https://apresentacao.pegaocardapio.com.br/)
18:02:11	2505/2505	---MCZ	200	added ('OK')	application/json	date:Mon,%2010%20Apr%202023%2021:02:10%20GMT	https://apresentacao.pegaocardapio.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapresentacao.pegaocardapio.com.br%2F	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-json/oembed/1.0/embedfcd5.json	(from https://apresentacao.pegaocardapio.com.br/)
18:02:11	2577/2577	---MCZ	200	added ('OK')	text/xml	date:Mon,%2010%20Apr%202023%2021:02:11%20GMT	https://apresentacao.pegaocardapio.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapresentacao.pegaocardapio.com.br%2F&format=xml	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-json/oembed/1.0/embedaef3	(from https://apresentacao.pegaocardapio.com.br/)
18:02:11	2298/2298	---M--	200	added ('OK')	image/png	etag:%228fa-5bb169269905b%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/cropped-logo2-32x32.png	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/cropped-logo2-32x32.png	(from https://apresentacao.pegaocardapio.com.br/)
18:02:12	31904/31904	---M--	200	added ('OK')	image/png	etag:%227ca0-5bb1692654e83%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/cropped-logo2-192x192.png	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/cropped-logo2-192x192.png	(from https://apresentacao.pegaocardapio.com.br/)
18:02:12	29356/29356	---M--	200	added ('OK')	image/png	etag:%2272ac-5bb169268195b%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/cropped-logo2-180x180.png	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/cropped-logo2-180x180.png	(from https://apresentacao.pegaocardapio.com.br/)
18:02:12	99353/99353	---M--	200	added ('OK')	image/png	etag:%2218419-5bafbba9fc17a%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/logo2-1.png	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/logo2-1.png	(from https://apresentacao.pegaocardapio.com.br/)
18:02:12	8701/8701	---M--	200	added ('OK')	image/jpeg	etag:%2221fd-5bafc3eb2b389%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/BACON.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/BACON.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:13	7696/7696	---M--	200	added ('OK')	image/jpeg	etag:%221e10-5bafc36938601%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/t-mcdonalds-Double-Cheeseburger.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/t-mcdonalds-Double-Cheeseburger.jpg	(from https://apresentacao.pegaocardapio.com.br/)
